tipo,sensacion,palabra,n
comercial,boca,nivel,2
comercial,boca,persistencia,2
comercial,boca,personalidad,2
comercial,boca,pesado,2
comercial,boca,puedo,2
comercial,boca,redondez,2
comercial,boca,resalte,2
comercial,boca,ribera,2
comercial,boca,tánico,2
comercial,boca,textura,2
comercial,boca,tipo,2
comercial,boca,toques,2
experto,tactil,alcohol,2
experto,tactil,amargo,2
experto,tactil,calor,2
experto,tactil,equilibrio,2
experto,tactil,finura,2
experto,tactil,fluidez,2
experto,tactil,frescura,2
experto,tactil,glicerol,2
experto,tactil,golosidad,2
experto,tactil,gustativas,2
experto,tactil,gusto,2
experto,tactil,intensidad,2
experto,tactil,lengua,2
experto,tactil,ligereza,2
experto,tactil,paladar,2
experto,tactil,perciben,2
experto,tactil,redondo,2
experto,tactil,sabores,2
experto,tactil,suave,2
experto,tactil,tánica,2
experto,tactil,tánico,2
experto,tactil,untosidad,2
experto,boca,ácido,2
experto,boca,afrutado,2
experto,boca,amargor,2
experto,boca,aromas,2
experto,boca,baja,2
experto,boca,bastante,2
experto,boca,beber,2
experto,boca,compleja,2
experto,boca,crianza,2
experto,boca,densidad,2
experto,boca,dulce,2
experto,boca,elegante,2
experto,boca,equilibrio,2
experto,boca,estructurado,2
experto,boca,fácil,2
experto,boca,falta,2
experto,boca,frutales,2
experto,boca,ligeramente,2
experto,boca,longitud,2
experto,boca,mucha,2
experto,boca,noble,2
experto,boca,persistente,2
experto,boca,postgusto,2
experto,boca,pulido,2
experto,boca,redondez,2
experto,boca,retrogusto,2
experto,boca,roja,2
experto,boca,sabor,2
experto,boca,sedosidad,2
experto,boca,suaves,2
experto,boca,tinto,2
experto,boca,tostado,2
experto,boca,tostados,2
experto,boca,untuoso,2
experto,boca,vino,2
consumidores,tactil,acuoso,1
consumidores,tactil,afrutado,1
consumidores,tactil,agradable,1
consumidores,tactil,amargo,1
consumidores,tactil,aromas,1
consumidores,tactil,beber,1
consumidores,tactil,calor,1
consumidores,tactil,cantidad,1
consumidores,tactil,capacidad,1
consumidores,tactil,carrovejas,1
consumidores,tactil,concreto,1
consumidores,tactil,contundente,1
consumidores,tactil,copa,1
consumidores,tactil,corcho,1
consumidores,tactil,densa,1
consumidores,tactil,dulzor,1
consumidores,tactil,dureza,1
consumidores,tactil,equilibrado,1
consumidores,tactil,equiparar,1
consumidores,tactil,espeso,1
consumidores,tactil,espesor,1
consumidores,tactil,espumoso,1
consumidores,tactil,forma,1
consumidores,tactil,fuerte,1
consumidores,tactil,gordura,1
consumidores,tactil,graduacion,1
consumidores,tactil,gusto,1
consumidores,tactil,ingerirlo,1
consumidores,tactil,intenso,1
consumidores,tactil,joven,1
consumidores,tactil,lengua,1
consumidores,tactil,ligero,1
consumidores,tactil,menos,1
consumidores,tactil,moviendose,1
consumidores,tactil,mucha,1
consumidores,tactil,paladar,1
consumidores,tactil,placentero,1
consumidores,tactil,predominancias,1
consumidores,tactil,presenta,1
consumidores,tactil,probar,1
consumidores,tactil,redondo,1
consumidores,tactil,roble,1
consumidores,tactil,saborear,1
consumidores,tactil,sabrearlo,1
consumidores,tactil,seda,1
consumidores,tactil,sedosidad,1
consumidores,tactil,sentido,1
consumidores,tactil,sentirlo,1
consumidores,tactil,sientes,1
consumidores,tactil,suave,1
consumidores,tactil,tacto,1
consumidores,tactil,tanico,1
consumidores,tactil,terciopelo,1
consumidores,tactil,tonteria,1
consumidores,tactil,tragar,1
consumidores,tactil,trata,1
consumidores,tactil,untuosidad,1
consumidores,tactil,viscosidad,1
consumidores,tactil,viscoso,1
consumidores,tactil,volumen,1
consumidores,boca,acido,1
consumidores,boca,ácido,1
consumidores,boca,acuoso,1
consumidores,boca,agresivos,1
consumidores,boca,agrio,1
consumidores,boca,alcohol,1
consumidores,boca,alcoholico,1
consumidores,boca,amaderado,1
consumidores,boca,amargo,1
consumidores,boca,aromas,1
consumidores,boca,aterciopelada,1
consumidores,boca,barrica,1
consumidores,boca,bebe,1
consumidores,boca,beberlo,1
consumidores,boca,buena,1
consumidores,boca,bueno,1
consumidores,boca,calidez,1
consumidores,boca,calido,1
consumidores,boca,caliente,1
consumidores,boca,cierta,1
consumidores,boca,cine,1
consumidores,boca,compartir,1
consumidores,boca,consciente,1
consumidores,boca,cosquilleo,1
consumidores,boca,despues,1
consumidores,boca,dulzor,1
consumidores,boca,elegante,1
consumidores,boca,equilibrio,1
consumidores,boca,espeso,1
consumidores,boca,facil,1
consumidores,boca,florales,1
consumidores,boca,forma,1
consumidores,boca,fresco,1
consumidores,boca,frutos,1
consumidores,boca,fuerza,1
consumidores,boca,gordo,1
consumidores,boca,grupo,1
consumidores,boca,intenso,1
consumidores,boca,joven,1
consumidores,boca,lengua,1
consumidores,boca,ligeramente,1
consumidores,boca,ligero,1
consumidores,boca,llena,1
consumidores,boca,lleno,1
consumidores,boca,mayor,1
consumidores,boca,media,1
consumidores,boca,olor,1
consumidores,boca,pesado,1
consumidores,boca,plenitud,1
consumidores,boca,potencia,1
consumidores,boca,queda,1
consumidores,boca,rasca,1
consumidores,boca,raspaba,1
consumidores,boca,recuerda,1
consumidores,boca,recuerdo,1
consumidores,boca,robusto,1
consumidores,boca,roja,1
consumidores,boca,rojos,1
consumidores,boca,sensación,1
consumidores,boca,sensorial,1
consumidores,boca,sequedad,1
consumidores,boca,suaves,1
consumidores,boca,tactiles,1
consumidores,boca,tenia,1
consumidores,boca,textura,1
consumidores,boca,tiempo,1
consumidores,boca,tonos,1
consumidores,boca,toque,1
consumidores,boca,toques,1
consumidores,boca,tranquilidad,1
consumidores,boca,vinos,1
comercial,tactil,acompañado,1
comercial,tactil,afrutado,1
comercial,tactil,agresivas,1
comercial,tactil,alta,1
comercial,tactil,amable,1
comercial,tactil,amargo,1
comercial,tactil,ambas,1
comercial,tactil,aquello,1
comercial,tactil,aristas,1
comercial,tactil,armonía,1
comercial,tactil,asociados,1
comercial,tactil,áspero,1
comercial,tactil,astringentes,1
comercial,tactil,aterciopeladas,1
comercial,tactil,aterciopelado,1
comercial,tactil,atractivas,1
comercial,tactil,ayudan,1
comercial,tactil,base,1
comercial,tactil,bebe,1
comercial,tactil,beber,1
comercial,tactil,bien,1
comercial,tactil,botella,1
comercial,tactil,buen,1
comercial,tactil,cabe,1
comercial,tactil,calor,1
comercial,tactil,característica,1
comercial,tactil,carbonico,1
comercial,tactil,catar,1
comercial,tactil,color,1
comercial,tactil,colores,1
comercial,tactil,compañía,1
comercial,tactil,complejo,1
comercial,tactil,componentes,1
comercial,tactil,concentración,1
comercial,tactil,condiciones,1
comercial,tactil,consistencia,1
comercial,tactil,consistente,1
comercial,tactil,contacto,1
comercial,tactil,contrario,1
comercial,tactil,conversación,1
comercial,tactil,copa,1
comercial,tactil,corpulento,1
comercial,tactil,cremosidad,1
comercial,tactil,creo,1
comercial,tactil,cuanto,1
comercial,tactil,dan,1
comercial,tactil,definimos,1
comercial,tactil,destacar,1
comercial,tactil,determinados,1
comercial,tactil,dice,1
comercial,tactil,disfrute,1
comercial,tactil,duro,1
comercial,tactil,ejemplo,1
comercial,tactil,elaborados,1
comercial,tactil,elegante,1
comercial,tactil,elementos,1
comercial,tactil,ello,1
comercial,tactil,empieza,1
comercial,tactil,entra,1
comercial,tactil,entrada,1
comercial,tactil,envolventes,1
comercial,tactil,estructurado,1
comercial,tactil,etc,1
comercial,tactil,etiqueta,1
comercial,tactil,explicar,1
comercial,tactil,fáciles,1
comercial,tactil,famosa,1
comercial,tactil,fase,1
comercial,tactil,fijación,1
comercial,tactil,formar,1
comercial,tactil,formas,1
comercial,tactil,frescor,1
comercial,tactil,frescura,1
comercial,tactil,frutas,1
comercial,tactil,garganta,1
comercial,tactil,gordo,1
comercial,tactil,grado,1
comercial,tactil,gran,1
comercial,tactil,granulometría,1
comercial,tactil,grasas,1
comercial,tactil,graso,1
comercial,tactil,grueso,1
comercial,tactil,gustativa,1
comercial,tactil,gustativas,1
comercial,tactil,gusto,1
comercial,tactil,hace,1
comercial,tactil,hora,1
comercial,tactil,incluso,1
comercial,tactil,interlocutor,1
comercial,tactil,jereces,1
comercial,tactil,ligereza,1
comercial,tactil,matices,1
comercial,tactil,medible,1
comercial,tactil,mente,1
comercial,tactil,miel,1
comercial,tactil,mineralidad,1
comercial,tactil,muchas,1
comercial,tactil,mundo,1
comercial,tactil,ninguna,1
comercial,tactil,notamos,1
comercial,tactil,olfativas,1
comercial,tactil,olfato,1
comercial,tactil,olores,1
comercial,tactil,papilas,1
comercial,tactil,parecen,1
comercial,tactil,parte,1
comercial,tactil,pastosas,1
comercial,tactil,patente,1
comercial,tactil,pocos,1
comercial,tactil,potente,1
comercial,tactil,primero,1
comercial,tactil,produce,1
comercial,tactil,prolongada,1
comercial,tactil,propias,1
comercial,tactil,propio,1
comercial,tactil,propios,1
comercial,tactil,pulido,1
comercial,tactil,punzante,1
comercial,tactil,px,1
comercial,tactil,rato,1
comercial,tactil,reacción,1
comercial,tactil,recuerda,1
comercial,tactil,recuerdos,1
comercial,tactil,relacionadas,1
comercial,tactil,reminiscencia,1
comercial,tactil,resulta,1
comercial,tactil,retrogusto,1
comercial,tactil,rodean,1
comercial,tactil,ruedo,1
comercial,tactil,rugoso,1
comercial,tactil,rusticidad,1
comercial,tactil,secante,1
comercial,tactil,secantes,1
comercial,tactil,sedosas,1
comercial,tactil,segundos,1
comercial,tactil,sentido,1
comercial,tactil,sequedad,1
comercial,tactil,ser,1
comercial,tactil,subjetividad,1
comercial,tactil,sugestion,1
comercial,tactil,sugiere,1
comercial,tactil,tánico,1
comercial,tactil,terpénico,1
comercial,tactil,texturas,1
comercial,tactil,tragamos,1
comercial,tactil,trago,1
comercial,tactil,trata,1
comercial,tactil,u,1
comercial,tactil,umami,1
comercial,tactil,untuoso,1
comercial,tactil,unutoso,1
comercial,tactil,van,1
comercial,tactil,viene,1
comercial,tactil,vinos,1
comercial,tactil,viscosidad,1
comercial,tactil,vivencias,1
comercial,boca,2013,1
comercial,boca,70,1
comercial,boca,accesible,1
comercial,boca,ácido,1
comercial,boca,acompañando,1
comercial,boca,ágil,1
comercial,boca,agresiva,1
comercial,boca,agresivos,1
comercial,boca,alcohol,1
comercial,boca,alcohólico,1
comercial,boca,alicante,1
comercial,boca,alta,1
comercial,boca,amable,1
comercial,boca,amargo,1
comercial,boca,amargor,1
comercial,boca,amplio,1
comercial,boca,aristas,1
comercial,boca,aromáticas,1
comercial,boca,áspera,1
comercial,boca,astringenciaambién,1
comercial,boca,ataque,1
comercial,boca,aún,1
comercial,boca,barbaria,1
comercial,boca,barniz,1
comercial,boca,bastante,1
comercial,boca,bebiéndolo,1
comercial,boca,bueno,1
comercial,boca,cafés,1
comercial,boca,cap,1
comercial,boca,capa,1
comercial,boca,capaz,1
comercial,boca,carne,1
comercial,boca,carnoso,1
comercial,boca,centenaria,1
comercial,boca,cerezas,1
comercial,boca,china,1
comercial,boca,chocolate,1
comercial,boca,chocolates,1
comercial,boca,cierta,1
comercial,boca,combinada,1
comercial,boca,comiendo,1
comercial,boca,complejidad,1
comercial,boca,compotado,1
comercial,boca,confitadas,1
comercial,boca,conjunto,1
comercial,boca,contundencia,1
comercial,boca,creo,1
comercial,boca,crianza,1
comercial,boca,cualquier,1
comercial,boca,cuero,1
comercial,boca,dejaba,1
comercial,boca,dejando,1
comercial,boca,deliciosa,1
comercial,boca,denso,1
comercial,boca,depende,1
comercial,boca,desequilibrado,1
comercial,boca,diferente,1
comercial,boca,duda,1
comercial,boca,duero,1
comercial,boca,dulces,1
comercial,boca,duración,1
comercial,boca,elevada,1
comercial,boca,encías,1
comercial,boca,ensamblar,1
comercial,boca,entrada,1
comercial,boca,epora,1
comercial,boca,equilibrados,1
comercial,boca,especiadas,1
comercial,boca,especiados,1
comercial,boca,espesura,1
comercial,boca,finura,1
comercial,boca,formentera,1
comercial,boca,fresas,1
comercial,boca,fresca,1
comercial,boca,frescor,1
comercial,boca,frutal,1
comercial,boca,frutales,1
comercial,boca,frutosidad,1
comercial,boca,fuero,1
comercial,boca,fuerza,1
comercial,boca,garnacha,1
comercial,boca,genera,1
comercial,boca,grande,1
comercial,boca,grasa,1
comercial,boca,gusto,1
comercial,boca,hace,1
comercial,boca,hacen,1
comercial,boca,hacía,1
comercial,boca,hierbas,1
comercial,boca,ideal,1
comercial,boca,identificación,1
comercial,boca,identificar,1
comercial,boca,identifico,1
comercial,boca,importante,1
comercial,boca,inicio,1
comercial,boca,interesante,1
comercial,boca,invita,1
comercial,boca,joven,1
comercial,boca,justa,1
comercial,boca,leche,1
comercial,boca,llenar,1
comercial,boca,lleno,1
comercial,boca,longitud,1
comercial,boca,maduro,1
comercial,boca,magnifico,1
comercial,boca,majestuosidad,1
comercial,boca,mancha,1
comercial,boca,maravillosas,1
comercial,boca,matices,1
comercial,boca,monastrell,1
comercial,boca,monte,1
comercial,boca,morras,1
comercial,boca,muchisima,1
comercial,boca,nariz,1
comercial,boca,negras,1
comercial,boca,nervioso,1
comercial,boca,ondarre,1
comercial,boca,oscuro,1
comercial,boca,padre,1
comercial,boca,paladar,1
comercial,boca,pasando,1
comercial,boca,perder,1
comercial,boca,perfecta,1
comercial,boca,perfectamente,1
comercial,boca,personales,1
comercial,boca,peso,1
comercial,boca,petit,1
comercial,boca,placentero,1
comercial,boca,pleno,1
comercial,boca,poca,1
comercial,boca,poder,1
comercial,boca,poderío,1
comercial,boca,poderosa,1
comercial,boca,porporcionan,1
comercial,boca,pos,1
comercial,boca,posgustro,1
comercial,boca,posible,1
comercial,boca,posterior,1
comercial,boca,postgusto,1
comercial,boca,potencia,1
comercial,boca,potentes,1
comercial,boca,predominan,1
comercial,boca,probar,1
comercial,boca,probarlo,1
comercial,boca,prolongada,1
comercial,boca,pulido,1
comercial,boca,punta,1
comercial,boca,puntito,1
comercial,boca,recuerdo,1
comercial,boca,redondos,1
comercial,boca,resultó,1
comercial,boca,retrogusto,1
comercial,boca,rojas,1
comercial,boca,rojo,1
comercial,boca,rugosidad,1
comercial,boca,saciar,1
comercial,boca,secando,1
comercial,boca,seco,1
comercial,boca,sedosidad,1
comercial,boca,seguir,1
comercial,boca,seleccionada,1
comercial,boca,seńorio,1
comercial,boca,siguiente,1
comercial,boca,sobremaduracion,1
comercial,boca,sonsacar,1
comercial,boca,sorbo,1
comercial,boca,suerte,1
comercial,boca,tanicidad,1
comercial,boca,tierra,1
comercial,boca,tinta,1
comercial,boca,tinto,1
comercial,boca,tofe,1
comercial,boca,top,1
comercial,boca,toque,1
comercial,boca,toro,1
comercial,boca,torrefactos,1
comercial,boca,tostadas,1
comercial,boca,tostado,1
comercial,boca,tostados,1
comercial,boca,trabajo,1
comercial,boca,transmitió,1
comercial,boca,tratamiento,1
comercial,boca,tremendamente,1
comercial,boca,trivarietal,1
comercial,boca,untuosidad,1
comercial,boca,untuoso,1
comercial,boca,uva,1
comercial,boca,vainilla,1
comercial,boca,vainillas,1
comercial,boca,vendimia,1
comercial,boca,vigoroso,1
comercial,boca,volumen,1
comercial,boca,voluminoso,1
experto,tactil,abundante,1
experto,tactil,acampañado,1
experto,tactil,ácidas,1
experto,tactil,ácido,1
experto,tactil,agresividad,1
experto,tactil,aguado,1
experto,tactil,alcohólico,1
experto,tactil,amabilidad,1
experto,tactil,amargor,1
experto,tactil,amplitud,1
experto,tactil,anguloso,1
experto,tactil,ardiente,1
experto,tactil,aristas,1
experto,tactil,aroma,1
experto,tactil,áspero,1
experto,tactil,astrigencia,1
experto,tactil,aterciopelada,1
experto,tactil,bajo,1
experto,tactil,barrica,1
experto,tactil,básicos,1
experto,tactil,bien,1
experto,tactil,buena,1
experto,tactil,burbujas,1
experto,tactil,cachemira,1
experto,tactil,cálido,1
experto,tactil,caquis,1
experto,tactil,características,1
experto,tactil,carga,1
experto,tactil,carnosidad,1
experto,tactil,cata,1
experto,tactil,cómo,1
experto,tactil,complexión,1
experto,tactil,concentración,1
experto,tactil,consistente,1
experto,tactil,cremosidad,1
experto,tactil,crianza,1
experto,tactil,cuero,1
experto,tactil,deja,1
experto,tactil,delicado,1
experto,tactil,descriptores,1
experto,tactil,dulce,1
experto,tactil,duración,1
experto,tactil,duro,1
experto,tactil,emociones,1
experto,tactil,envolvente,1
experto,tactil,espontánea,1
experto,tactil,expande,1
experto,tactil,expresión,1
experto,tactil,fase,1
experto,tactil,fenolicidad,1
experto,tactil,fino,1
experto,tactil,físicas,1
experto,tactil,forma,1
experto,tactil,frescor,1
experto,tactil,fruta,1
experto,tactil,gamma,1
experto,tactil,glicérico,1
experto,tactil,golosura,1
experto,tactil,gomoso,1
experto,tactil,grasa,1
experto,tactil,gustativa,1
experto,tactil,hacen,1
experto,tactil,impide,1
experto,tactil,ladrillo,1
experto,tactil,lana,1
experto,tactil,lías,1
experto,tactil,ligero,1
experto,tactil,lubricación,1
experto,tactil,madera,1
experto,tactil,madura,1
experto,tactil,marcado,1
experto,tactil,mediante,1
experto,tactil,meterlo,1
experto,tactil,misma,1
experto,tactil,mohair,1
experto,tactil,moleste,1
experto,tactil,nota,1
experto,tactil,notando,1
experto,tactil,notas,1
experto,tactil,olor,1
experto,tactil,palatibilidad,1
experto,tactil,pasa,1
experto,tactil,pasar,1
experto,tactil,paso,1
experto,tactil,percibes,1
experto,tactil,percibidas,1
experto,tactil,percibimos,1
experto,tactil,persistencia,1
experto,tactil,persistente,1
experto,tactil,ph,1
experto,tactil,polifenol,1
experto,tactil,polifenoles,1
experto,tactil,polvoriento,1
experto,tactil,porduce,1
experto,tactil,postgusto,1
experto,tactil,presente,1
experto,tactil,principalmente,1
experto,tactil,probar,1
experto,tactil,producen,1
experto,tactil,punzante,1
experto,tactil,referencia,1
experto,tactil,respuesta,1
experto,tactil,retrogusto,1
experto,tactil,rugosidad,1
experto,tactil,rugoso,1
experto,tactil,salivación,1
experto,tactil,salivar,1
experto,tactil,secante,1
experto,tactil,secantes,1
experto,tactil,sedosas,1
experto,tactil,senosriales,1
experto,tactil,sensibilidad,1
experto,tactil,sentido,1
experto,tactil,siente,1
experto,tactil,solubles,1
experto,tactil,tactiles,1
experto,tactil,táctiles,1
experto,tactil,tales,1
experto,tactil,telas,1
experto,tactil,temperatura,1
experto,tactil,texturas,1
experto,tactil,trabajado,1
experto,tactil,través,1
experto,tactil,untuoso,1
experto,tactil,uva,1
experto,tactil,velour,1
experto,tactil,verdes,1
experto,tactil,verdor,1
experto,tactil,voluminoso,1
experto,boca,acusada,1
experto,boca,agresiva,1
experto,boca,agresivo,1
experto,boca,ahumado,1
experto,boca,alta,1
experto,boca,alto,1
experto,boca,amable,1
experto,boca,amargo,1
experto,boca,anegra,1
experto,boca,ardor,1
experto,boca,armas,1
experto,boca,aroma,1
experto,boca,aromático,1
experto,boca,áspero,1
experto,boca,ataque,1
experto,boca,aterciopelado,1
experto,boca,blando,1
experto,boca,buen,1
experto,boca,calidez,1
experto,boca,calido,1
experto,boca,calor,1
experto,boca,caramelo,1
experto,boca,carnosidad,1
experto,boca,centro,1
experto,boca,chocolate,1
experto,boca,cierta,1
experto,boca,comidas,1
experto,boca,complejidad,1
experto,boca,complejo,1
experto,boca,complejos,1
experto,boca,composición,1
experto,boca,correcto,1
experto,boca,cuero,1
experto,boca,debido,1
experto,boca,defectos,1
experto,boca,defectuoso,1
experto,boca,delatte,1
experto,boca,denso,1
experto,boca,duradero,1
experto,boca,duro,1
experto,boca,elaborado,1
experto,boca,fenólica,1
experto,boca,fina,1
experto,boca,fino,1
experto,boca,floral,1
experto,boca,fluidez,1
experto,boca,fluido,1
experto,boca,frescor,1
experto,boca,frescura,1
experto,boca,frut,1
experto,boca,frutas,1
experto,boca,fuerte,1
experto,boca,glicericoso,1
experto,boca,golosa,1
experto,boca,golosura,1
experto,boca,gominolas,1
experto,boca,grado,1
experto,boca,gran,1
experto,boca,gruesos,1
experto,boca,guinda,1
experto,boca,integrados,1
experto,boca,intensidad,1
experto,boca,joven,1
experto,boca,lías,1
experto,boca,licor,1
experto,boca,limpia,1
experto,boca,llano,1
experto,boca,maduro,1
experto,boca,medio,1
experto,boca,microoxigenación,1
experto,boca,moka,1
experto,boca,motivador,1
experto,boca,negras,1
experto,boca,negro,1
experto,boca,nueva,1
experto,boca,pequeñas,1
experto,boca,perfecto,1
experto,boca,perfumes,1
experto,boca,pesadas,1
experto,boca,peso,1
experto,boca,pleno,1
experto,boca,polisacaridos,1
experto,boca,potencia,1
experto,boca,potente,1
experto,boca,presencia,1
experto,boca,proporcione,1
experto,boca,reactividad,1
experto,boca,redondos,1
experto,boca,rojas,1
experto,boca,rugosidad,1
experto,boca,rugosos,1
experto,boca,sentido,1
experto,boca,soporte,1
experto,boca,tánica,1
experto,boca,tanico,1
experto,boca,tánico,1
experto,boca,tenue,1
experto,boca,textura,1
experto,boca,tonos,1
experto,boca,tostadas,1
experto,boca,trabajado,1
experto,boca,untosidad,1
experto,boca,vainilla,1
experto,boca,variedad,1
experto,boca,verde,1
experto,boca,verdes,1
experto,boca,violeta,1
